caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
12005,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
12006,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$25,000 to $49,999",1
12007,5,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",1
12008,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12009,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
12010,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12011,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",0
12012,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",1
12013,7,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Very good,"$75,000 to $99,999",0
12014,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
12015,7,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Fair,"$25,000 to $49,999",1
12016,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
12017,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12018,NA,NA,NA,NA,"Less than $25,000",2
12019,9,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
12020,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12021,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",0
12022,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Excellent,"Less than $25,000",0
12023,10,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"Less than $25,000",0
12024,5,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"$50,000 to $74,999",0
12025,8,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
12026,7,University certificate or diploma below the bachelor's level,NA,Very good,"$50,000 to $74,999",1
12027,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"Less than $25,000",1
12028,5,University certificate or diploma below the bachelor's level,NA,Fair,"Less than $25,000",1
12029,9,High school diploma or a high school equivalency certificate,Don't know,Very good,"$50,000 to $74,999",1
12030,9,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
12031,7,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"Less than $25,000",0
12032,7,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12033,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12034,10,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12035,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Don't know,Excellent,"Less than $25,000",0
12036,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
12037,10,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",2
12038,9,Less than high school diploma or its equivalent,50.1 hours and more,Excellent,"Less than $25,000",0
12039,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
12040,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$75,000 to $99,999",1
12041,5,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"Less than $25,000",0
12042,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12043,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12044,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",2
12045,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
12046,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$75,000 to $99,999",2
12047,6,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",0
12048,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
12049,10,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12050,9,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
12051,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
12052,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
12053,8,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
12054,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12055,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
12056,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Fair,"Less than $25,000",0
12057,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",2
12058,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12059,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",2
12060,9,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",0
12061,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12062,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12063,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12064,10,Less than high school diploma or its equivalent,NA,Excellent,"$50,000 to $74,999",1
12065,6,Less than high school diploma or its equivalent,NA,Fair,"Less than $25,000",0
12066,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$25,000 to $49,999",1
12067,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12068,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"Less than $25,000",1
12069,6,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12070,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12071,10,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
12072,7,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
12073,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",1
12074,9,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
12075,8,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",3
12076,7,University certificate or diploma below the bachelor's level,NA,Good,"$50,000 to $74,999",1
12077,9,NA,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
12078,8,Trade certificate or diploma,0.1 to 29.9 hours,Excellent,"Less than $25,000",2
12079,5,High school diploma or a high school equivalency certificate,NA,Fair,"$25,000 to $49,999",1
12080,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$75,000 to $99,999",1
12081,5,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12082,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
12083,10,High school diploma or a high school equivalency certificate,NA,Good,"$25,000 to $49,999",1
12084,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12085,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12086,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
12087,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$125,000 and more",2
12088,8,High school diploma or a high school equivalency certificate,Don't know,Good,"$25,000 to $49,999",2
12089,8,"University certificate, diploma or degree above the bach...",50.1 hours and more,Very good,"$75,000 to $99,999",1
12090,10,High school diploma or a high school equivalency certificate,NA,Very good,"$125,000 and more",1
12091,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
12092,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
12093,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
12094,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
12095,0,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",1
12096,4,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12097,10,University certificate or diploma below the bachelor's level,NA,Excellent,"$75,000 to $99,999",1
12098,8,High school diploma or a high school equivalency certificate,Don't know,Good,"$50,000 to $74,999",1
12099,6,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
12100,7,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",0
12101,10,Trade certificate or diploma,NA,Good,"Less than $25,000",1
12102,9,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12103,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$125,000 and more",1
12104,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12105,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",2
12106,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
12107,8,Trade certificate or diploma,NA,Very good,"Less than $25,000",1
12108,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"Less than $25,000",2
12109,9,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",0
12110,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",3
12111,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
12112,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
12113,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
12114,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",1
12115,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",0
12116,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12117,10,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$50,000 to $74,999",1
12118,8,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$125,000 and more",1
12119,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12120,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",0
12121,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
12122,8,Less than high school diploma or its equivalent,50.1 hours and more,Very good,"Less than $25,000",1
12123,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Good,"Less than $25,000",0
12124,8,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Excellent,"$125,000 and more",1
12125,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",0
12126,7,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"$50,000 to $74,999",0
12127,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$75,000 to $99,999",1
12128,8,Trade certificate or diploma,NA,Fair,"Less than $25,000",2
12129,8,"College, CEGEP or other non-university certificate or di...",NA,Good,"$25,000 to $49,999",1
12130,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"Less than $25,000",1
12131,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"$75,000 to $99,999",1
12132,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",1
12133,8,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
12134,9,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
12135,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12136,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Excellent,"Less than $25,000",1
12137,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",0
12138,4,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Fair,"Less than $25,000",0
12139,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12140,8,NA,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
12141,8,Trade certificate or diploma,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
12142,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
12143,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
12144,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"Less than $25,000",1
12145,10,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
12146,8,University certificate or diploma below the bachelor's level,NA,Excellent,"$50,000 to $74,999",2
12147,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$125,000 and more",1
12148,10,"College, CEGEP or other non-university certificate or di...",NA,Good,"$50,000 to $74,999",1
12149,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"$75,000 to $99,999",0
12150,6,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"Less than $25,000",1
12151,10,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
12152,8,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Good,"$25,000 to $49,999",1
12153,1,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Fair,"Less than $25,000",0
12154,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
12155,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
12156,8,Less than high school diploma or its equivalent,NA,Excellent,"$50,000 to $74,999",1
12157,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"$100,000 to $ 124,999",3
12158,5,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
12159,8,Less than high school diploma or its equivalent,50.1 hours and more,Excellent,"Less than $25,000",0
12160,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Very good,"$75,000 to $99,999",2
12161,9,"University certificate, diploma or degree above the bach...",NA,Good,"Less than $25,000",1
12162,8,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
12163,9,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12164,3,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"$75,000 to $99,999",1
12165,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",0
12166,3,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",0
12167,8,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Good,"Less than $25,000",0
12168,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",2
12169,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"Less than $25,000",1
12170,4,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",2
12171,8,"University certificate, diploma or degree above the bach...",NA,Good,"Less than $25,000",1
12172,9,"University certificate, diploma or degree above the bach...",NA,Very good,"$50,000 to $74,999",1
12173,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",1
12174,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",2
12175,4,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
12176,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
12177,9,Trade certificate or diploma,NA,Very good,"Less than $25,000",1
12178,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$125,000 and more",1
12179,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",2
12180,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$50,000 to $74,999",1
12181,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"$50,000 to $74,999",1
12182,8,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
12183,7,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
12184,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",2
12185,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
12186,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Poor,"$75,000 to $99,999",1
12187,NA,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
12188,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$50,000 to $74,999",1
12189,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",1
12190,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",1
12191,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12192,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$100,000 to $ 124,999",1
12193,10,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",1
12194,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
12195,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",1
12196,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",2
12197,6,Trade certificate or diploma,30.0 to 40.0 hours,Fair,"$25,000 to $49,999",0
12198,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",0
12199,8,NA,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
12200,6,"University certificate, diploma or degree above the bach...",NA,Good,"$25,000 to $49,999",1
12201,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$125,000 and more",1
12202,3,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Fair,"$25,000 to $49,999",0
12203,10,Less than high school diploma or its equivalent,Don't know,Good,"$50,000 to $74,999",2
12204,7,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"$25,000 to $49,999",0
12205,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12206,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",2
12207,7,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"$100,000 to $ 124,999",1
12208,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
12209,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12210,8,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",0
12211,9,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$50,000 to $74,999",1
12212,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"Less than $25,000",0
12213,5,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",0
12214,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Fair,"$125,000 and more",1
12215,10,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",0
12216,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
12217,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
12218,8,Less than high school diploma or its equivalent,NA,Good,"$50,000 to $74,999",1
12219,7,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
12220,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12221,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
12222,9,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"Less than $25,000",0
12223,8,"University certificate, diploma or degree above the bach...",NA,Very good,"Less than $25,000",1
12224,6,Trade certificate or diploma,0.1 to 29.9 hours,Fair,"Less than $25,000",1
12225,10,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",2
12226,9,Less than high school diploma or its equivalent,NA,Fair,"$25,000 to $49,999",1
12227,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",0
12228,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
12229,10,Less than high school diploma or its equivalent,50.1 hours and more,Excellent,"Less than $25,000",1
12230,8,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12231,8,Less than high school diploma or its equivalent,NA,Good,"$50,000 to $74,999",1
12232,5,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",1
12233,0,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",2
12234,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
12235,10,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Very good,"$125,000 and more",1
12236,9,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
12237,9,University certificate or diploma below the bachelor's level,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
12238,7,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
12239,9,"College, CEGEP or other non-university certificate or di...",NA,Good,"$25,000 to $49,999",0
12240,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
12241,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
12242,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
12243,8,Trade certificate or diploma,30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
12244,9,"University certificate, diploma or degree above the bach...",NA,Fair,"Less than $25,000",1
12245,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
12246,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12247,8,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
12248,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$125,000 and more",1
12249,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12250,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
12251,10,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
12252,7,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",2
12253,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
12254,9,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",0
12255,9,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",0
12256,10,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$125,000 and more",1
12257,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
12258,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",1
12259,3,"University certificate, diploma or degree above the bach...",NA,Fair,"$50,000 to $74,999",1
12260,7,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",1
12261,7,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",1
12262,9,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"$50,000 to $74,999",1
12263,6,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
12264,8,High school diploma or a high school equivalency certificate,50.1 hours and more,Excellent,"$25,000 to $49,999",0
12265,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12266,6,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",0
12267,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12268,9,"College, CEGEP or other non-university certificate or di...",Don't know,Excellent,"Less than $25,000",1
12269,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
12270,7,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",1
12271,7,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Very good,"$25,000 to $49,999",0
12272,9,Trade certificate or diploma,0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",2
12273,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"Less than $25,000",0
12274,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12275,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
12276,8,University certificate or diploma below the bachelor's level,NA,Fair,"Less than $25,000",1
12277,8,High school diploma or a high school equivalency certificate,NA,Very good,"$125,000 and more",1
12278,7,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
12279,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
12280,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
