caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
93,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Very good,"Less than $25,000",0
94,NA,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",1
95,6,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",1
96,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",1
97,5,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
98,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
99,0,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$75,000 to $99,999",0
100,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
101,9,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$25,000 to $49,999",1
102,10,High school diploma or a high school equivalency certificate,Don't know,Excellent,"$25,000 to $49,999",2
103,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"Less than $25,000",0
104,8,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Good,"Less than $25,000",2
105,9,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
106,6,NA,50.1 hours and more,Good,"$25,000 to $49,999",2
107,4,High school diploma or a high school equivalency certificate,Don't know,Excellent,"$25,000 to $49,999",1
108,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",0
109,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
110,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"Less than $25,000",1
111,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
112,7,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$125,000 and more",1
113,NA,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",2
114,9,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
115,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
116,10,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
117,8,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"$125,000 and more",2
118,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
119,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Poor,"$25,000 to $49,999",1
120,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
121,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
122,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
123,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
124,6,"University certificate, diploma or degree above the bach...",NA,Fair,"$25,000 to $49,999",1
125,10,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",0
126,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
127,8,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",0
128,10,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",2
129,2,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Poor,"$50,000 to $74,999",2
130,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
131,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",1
132,9,Less than high school diploma or its equivalent,NA,Excellent,"$50,000 to $74,999",1
133,NA,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
134,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
135,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$25,000 to $49,999",0
136,8,Trade certificate or diploma,40.1 to 50.0 hours,Good,"$25,000 to $49,999",0
137,10,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
138,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
139,0,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
140,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
141,9,University certificate or diploma below the bachelor's level,40.1 to 50.0 hours,Excellent,"Less than $25,000",1
142,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$75,000 to $99,999",2
143,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Fair,"$25,000 to $49,999",1
144,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
145,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Very good,"$25,000 to $49,999",1
146,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$50,000 to $74,999",1
147,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
148,8,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$50,000 to $74,999",1
149,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",0
150,7,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Good,"$75,000 to $99,999",0
151,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"Less than $25,000",0
152,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$75,000 to $99,999",1
153,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
